Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,193453358.700584,193.453359,0.193453,10276008,0.053443,15.869559,15.923002,224,10,2,2,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,171075261.337272,171.075261,0.171075,10276008,0.060346,15.920604,15.980950,224,10,4,4,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,113557395.089641,113.557395,0.113557,10276008,0.090930,16.180120,16.271050,224,10,16,16,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,126652802.718625,126.652803,0.126653,10276008,0.081653,15.892307,15.973960,896,10,2,2,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,111354694.866779,111.354695,0.111355,10276008,0.092566,15.983668,16.076234,896,10,4,4,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,70930168.124399,70.930168,0.070930,10276008,0.145151,16.155126,16.300277,896,10,16,16,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,99537744.858129,99.537745,0.099538,10276008,0.103483,15.904041,16.007524,1792,10,2,2,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,87944925.195750,87.944925,0.087945,10276008,0.117111,15.940784,16.057895,1792,10,4,4,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,52376938.450581,52.376938,0.052377,10276008,0.196298,16.158228,16.354525,1792,10,16,16,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,260821377.637897,260.821378,0.260821,10276008,0.040301,15.875548,15.915849,224,10,2,2,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,226021652.835200,226.021653,0.226022,10276008,0.045893,15.928113,15.974006,224,10,4,4,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,147517051.992530,147.517052,0.147517,10276008,0.070460,16.102732,16.173192,224,10,16,16,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,169693925.894149,169.693926,0.169694,10276008,0.061788,15.873636,15.935424,896,10,2,2,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,141391330.627437,141.391331,0.141391,10276008,0.073279,15.704135,15.777414,896,10,4,4,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,93067097.132163,93.067097,0.093067,10276008,0.111519,16.398752,16.510271,896,10,16,16,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,129548907.715239,129.548908,0.129549,10276008,0.079716,16.173621,16.253337,1792,10,2,2,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,111453791.799102,111.453792,0.111454,10276008,0.092609,16.270956,16.363565,1792,10,4,4,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,70809626.591666,70.809627,0.070810,10276008,0.145622,16.447271,16.592892,1792,10,16,16,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,324360709.193322,324.360709,0.324361,10276008,0.033414,16.066948,16.100362,224,10,2,2,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,280011990.524438,280.011991,0.280012,10276008,0.038463,16.042031,16.080494,224,10,4,4,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,191603462.931721,191.603463,0.191603,10276008,0.054875,16.320756,16.375631,224,10,16,16,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,213994210.013066,213.994210,0.213994,10276008,0.049176,16.029334,16.078510,896,10,2,2,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,187698795.861315,187.698796,0.187699,10276008,0.056418,16.148414,16.204832,896,10,4,4,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,115922273.722654,115.922274,0.115922,10276008,0.089680,16.296977,16.386657,896,10,16,16,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,162615313.727553,162.615314,0.162615,10276008,0.064566,16.026759,16.091325,1792,10,2,2,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,143418755.304755,143.418755,0.143419,10276008,0.072557,16.104599,16.177156,1792,10,4,4,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,90313553.820263,90.313554,0.090314,10276008,0.114737,16.363517,16.478254,1792,10,16,16,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
