Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,133965580.250777,133.965580,0.133966,43586784,0.360228,84.020728,84.380956,1588864,10,2,2,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,146615264.832808,146.615265,0.146615,43586784,0.354687,86.411866,86.766553,1588624,10,16,16,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,505666526.636432,505.666527,0.505667,174347136,0.386456,84.618516,85.004972,6355456,10,2,2,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,459005384.659239,459.005385,0.459005,174347136,0.430315,86.456324,86.886639,6354496,10,16,16,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,678427845.143865,678.427845,0.678428,348694272,0.560462,84.951923,85.512385,12710912,10,2,2,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,521616593.377567,521.616593,0.521617,348694272,0.730707,86.455896,87.186603,12708992,10,16,16,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,202201507.912715,202.201508,0.202202,43586784,0.228700,84.660313,84.889013,1588864,10,2,2,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,239905008.328550,239.905008,0.239905,43586784,0.317285,86.567143,86.884427,1588624,10,16,16,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,430576345.550352,430.576346,0.430576,174347136,0.448447,84.709805,85.158252,6355456,10,2,2,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,532119868.916650,532.119869,0.532120,174347136,0.475516,86.556509,87.032025,6354496,10,16,16,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,822463511.068084,822.463511,0.822464,348694272,0.461711,85.262166,85.723877,12710912,10,2,2,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,617664876.084591,617.664876,0.617665,348694272,0.667144,85.672078,86.339222,12708992,10,16,16,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,166231997.060751,166.231997,0.166232,43586784,0.335501,84.529435,84.864936,1588864,10,2,2,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,237973971.161796,237.973971,0.237974,43586784,0.311046,86.758422,87.069468,1588624,10,16,16,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,569362446.778314,569.362447,0.569362,174347136,0.363475,83.964539,84.328014,6355456,10,2,2,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,536651987.760115,536.651988,0.536652,174347136,0.416104,86.375572,86.791676,6354496,10,16,16,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,1216399194.448391,1216.399194,1.216399,348694272,0.459053,84.505532,84.964585,12710912,10,2,2,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,621062498.420481,621.062498,0.621062,348694272,0.618923,85.693714,86.312637,12708992,10,16,16,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
