Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,1043867925.386307,1043.867925,1.043868,4381182,0.014285,2.550681,2.564966,144,10,2,2,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,310032315.479252,310.032315,0.310032,4381182,0.034030,2.551921,2.585951,144,10,4,4,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,241643819.139681,241.643819,0.241644,4381182,0.040955,2.576466,2.617421,144,10,16,16,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,219601078.242825,219.601078,0.219601,4381182,0.043544,2.500787,2.544331,576,10,2,2,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,382686180.373037,382.686180,0.382686,4381182,0.022636,2.547366,2.570002,576,10,4,4,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,140468123.169990,140.468123,0.140468,4381182,0.056493,2.563837,2.620330,576,10,16,16,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,54895052.792532,54.895053,0.054895,4381182,0.080185,2.519558,2.599743,1152,10,2,2,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,174445764.058872,174.445764,0.174446,4381182,0.047598,2.539367,2.586965,1152,10,4,4,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,110825724.634078,110.825725,0.110826,4381182,0.052958,2.526227,2.579185,1152,10,16,16,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,439405902.590204,439.405903,0.439406,4381182,0.025124,2.558701,2.583825,144,10,2,2,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1249835701.733943,1249.835702,1.249836,4381182,0.016178,2.570843,2.587021,144,10,4,4,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,955289382.144097,955.289382,0.955289,4381182,0.013138,2.614697,2.627835,144,10,16,16,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,951107713.440675,951.107713,0.951108,4381182,0.013194,2.536577,2.549771,576,10,2,2,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,509553693.240382,509.553693,0.509554,4381182,0.023417,2.545194,2.568610,576,10,4,4,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,61298365.683711,61.298366,0.061298,4381182,0.073065,2.576210,2.649275,576,10,16,16,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,235354723.474058,235.354723,0.235355,4381182,0.044472,2.523621,2.568093,1152,10,2,2,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,138287358.519643,138.287359,0.138287,4381182,0.055179,2.542093,2.597272,1152,10,4,4,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,93967672.288624,93.967672,0.093968,4381182,0.073003,2.532067,2.605070,1152,10,16,16,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,4299285608.184268,4299.285608,4.299286,4381182,0.007486,2.524516,2.532002,144,10,2,2,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,2307949241.602370,2307.949242,2.307949,4381182,0.015086,2.532205,2.547291,144,10,4,4,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1271930657.854021,1271.930658,1.271931,4381182,0.014979,2.611435,2.626414,144,10,16,16,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1553816644.027639,1553.816644,1.553817,4381182,0.011344,2.516806,2.528150,576,10,2,2,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,901861578.161433,901.861578,0.901862,4381182,0.021135,2.536701,2.557836,576,10,4,4,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,200843034.785534,200.843035,0.200843,4381182,0.043249,2.568346,2.611595,576,10,16,16,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,603693046.324867,603.693046,0.603693,4381182,0.023127,2.539114,2.562241,1152,10,2,2,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,89894197.941896,89.894198,0.089894,4381182,0.051837,2.537366,2.589203,1152,10,4,4,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,252189044.240870,252.189044,0.252189,4381182,0.036091,2.612852,2.648943,1152,10,16,16,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
