Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,0.003122,0.013602,0.016724,0,100,1,1,-1,1024,1024,8192,0,0
csr_omp -t 1024x8,0.003420,0.015638,0.019058,0,100,1,1,1,1024,1024,8192,0,0
csr_omp -t 1024x8,0.001866,0.011042,0.012907,0,100,1,1,2,1024,1024,8192,0,0
csr_omp -t 1024x8,0.001016,0.013383,0.014400,0,100,1,1,4,1024,1024,8192,0,0
csr_omp -t 1024x8,0.000850,0.011649,0.012499,0,100,1,1,8,1024,1024,8192,0,0
csr_omp -t 1024x8,0.001157,0.011511,0.012668,0,100,1,1,16,1024,1024,8192,0,0
csr_omp -t 1024x8,0.002559,0.011600,0.014159,0,100,1,1,32,1024,1024,8192,0,0
ell_serial,0.003121,0.015637,0.018758,0,100,1,1,-1,1024,1024,8192,8,8
ell_omp -t 1,0.003339,0.012414,0.015753,0,100,1,1,1,1024,1024,8192,8,8
ell_omp -t 2,0.001879,0.012289,0.014168,0,100,1,1,2,1024,1024,8192,8,8
ell_omp -t 4,0.001020,0.012724,0.013744,0,100,1,1,4,1024,1024,8192,8,8
ell_omp -t 8,0.000866,0.013177,0.014044,0,100,1,1,8,1024,1024,8192,8,8
ell_omp -t 16,0.001131,0.012613,0.013744,0,100,1,1,16,1024,1024,8192,8,8
ell_omp -t 32,0.002169,0.013225,0.015394,0,100,1,1,32,1024,1024,8192,8,8
